Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10287","","","None","192.168.16.1","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.160.192.28 to 192.168.16.1 : 
10.160.192.28
10.160.192.30
192.168.16.1

Hop Count: 2
"
"10863","","","None","192.168.16.1","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: ASA Temporary Self Signed Certificate

Issuer Name: 

Common Name: ASA Temporary Self Signed Certificate

Serial Number: 5F 4D 71 5A 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Jan 31 05:00:15 2018 GMT
Not Valid After: Jan 29 05:00:15 2028 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 A1 7F E8 E9 34 EC 06 A8 92 99 63 29 41 E9 16 FF E1 86 90 
            BD 35 72 7D 7D 6B F9 F9 8F 24 68 70 64 97 F1 E5 8F 05 ED 94 
            F7 70 CE 82 7A 09 E4 72 F5 57 B1 39 D5 EC 25 E9 B9 0C 3A 44 
            D8 67 0A 1D E6 09 ED 0F 78 8C 60 D3 5D 22 02 CD E3 BD B7 F9 
            2D BD 23 12 4A 24 DA C9 E1 39 A9 50 D7 9C 9E 8F EE E9 A7 89 
            65 78 7B 2B 71 2E 88 2E 47 98 EB B8 C4 BE DF EF B1 F6 93 E5 
            77 6F C5 19 6F ED 2F A9 FB 03 40 7E 8E BC B1 50 E6 12 85 A7 
            6E 45 98 31 6C EE 17 AA 61 27 1A 39 FA 28 24 30 2F BF 14 C0 
            25 50 78 07 73 6D 4C 15 58 DA B6 1E 01 3B 01 25 7A 59 49 EB 
            28 3C B8 F3 D6 C5 A2 B2 D0 38 97 AC 94 16 95 84 6E E2 CA CF 
            6A 0A 08 0C 75 E4 92 B0 BE 6A 98 0D 6E 8F 4E 42 B4 6F 70 02 
            05 91 39 DA DF C1 FA 1C 97 35 1D C5 1C E6 12 A7 BE 34 59 7F 
            E7 03 45 04 AF AE C9 E4 33 C6 AF D3 3A 67 B0 EF 4D 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 95 C2 EF 9B DC 1D 4E A1 79 AE 37 76 61 35 2E 29 2B A5 5B 
           B9 7E F6 F4 3F 2E 82 3A 65 FC 9C 4E 81 15 61 6D CC D0 9E 46 
           00 6E 48 CC 94 9E 40 FE 8F 75 B9 E1 61 32 43 A1 68 38 9A 61 
           B1 8A 27 5A CA 40 5F 84 99 60 A9 A2 BB 95 ED D4 EE B7 C3 C2 
           B2 92 65 6C E3 C5 FA 44 06 F0 A6 33 F2 C5 FD 46 30 32 71 87 
           F2 76 FE DA B8 D7 A6 AE 0C CC C4 D2 EB DF 2C 4A 5C C3 F1 74 
           19 D5 58 9B 5A 28 78 CB D9 DA AE 5B F5 C6 6D F9 98 A2 CE 47 
           2E 55 16 FA 84 35 84 67 82 B3 72 38 4B 0D 85 67 FC 91 4B 40 
           74 8C 9C 7F 12 FA AF 6B 0D 2B EB 34 56 FA 89 D9 0C E2 45 DE 
           94 1C CB F0 CE 9A F7 F8 21 FC 14 F2 F5 56 84 0F A9 39 8B BF 
           A4 CD 3E 24 8E ED A3 F2 BF 8A 23 28 DB 77 67 36 CD 22 C9 87 
           96 59 3A DD 9A 96 2E D0 DD 7E EE F5 84 2E 8B C5 34 89 E1 8C 
           DE 04 AD 75 DB A5 22 E8 76 83 E0 56 4E 9B CC DC 50 

Fingerprints : 

SHA-256 Fingerprint: 68 D2 69 D6 43 79 1D 75 43 42 8B 17 F9 93 D8 4B B4 04 AA 9D 
                     10 A1 96 43 DF 4E 67 1E BD DC D2 47 
SHA-1 Fingerprint: 32 20 F8 EA F1 C8 DA 46 AF 56 A2 44 5B 4E 6D FC 6E 91 69 C6 
MD5 Fingerprint: B1 E3 E8 54 14 DC 5F 5A 76 D6 8E A9 C0 4E 98 80 

"
"11219","","","None","192.168.16.1","tcp","23","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 23/tcp was found to be open"
"11219","","","None","192.168.16.1","tcp","22","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 22/tcp was found to be open"
"11219","","","None","192.168.16.1","tcp","443","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 443/tcp was found to be open"
"11936","","","None","192.168.16.1","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : HP JetDirect Printer
Nortel Switch
RICOH Printer
SonicOS 3.1
Confidence level : 54
Method : SinFP

 
The remote host is running one of these operating systems : 
HP JetDirect Printer
Nortel Switch
RICOH Printer
SonicOS 3.1"
"19506","","","None","192.168.16.1","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - Whether credentialed or third-party patch management
    checks are possible.
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 7.0.1
Plugin feed version : 201802070515
Scanner edition used : Nessus
Scan type : Normal
Scan policy used : Advanced Scan
Scanner IP : 10.160.192.28
Port scanner(s) : nessus_syn_scanner 
Port range : default
Thorough tests : no
Experimental tests : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
CGI scanning : disabled
Web application tests : disabled
Max hosts : 30
Max checks : 5
Recv timeout : 5
Backports : None
Allow post-scan editing: Yes
Scan Start Date : 2018/2/8 9:24 EST
Scan duration : 507 sec
"
"21643","","","None","192.168.16.1","tcp","443","SSL Cipher Suites Supported","The remote service encrypts communications using SSL.","This plugin detects which SSL ciphers are supported by the remote
service for encrypting communications.","n/a","https://www.openssl.org/docs/man1.1.0/apps/ciphers.html
http://www.nessus.org/u?3a040ada","
Here is the list of SSL ciphers supported by the remote server :
Each group is reported per SSL Version.

SSL Version : TLSv12
  High Strength Ciphers (>= 112-bit key)

    DHE-RSA-AES128-SHA256        Kx=DH          Au=RSA      Enc=AES-GCM(128)         Mac=SHA256  
    DHE-RSA-AES256-SHA384        Kx=DH          Au=RSA      Enc=AES-GCM(256)         Mac=SHA384  
    ECDHE-ECDSA-AES128-SHA256    Kx=ECDH        Au=ECDSA    Enc=AES-GCM(128)         Mac=SHA256  
    ECDHE-ECDSA-AES256-SHA384    Kx=ECDH        Au=ECDSA    Enc=AES-GCM(256)         Mac=SHA384  
    ECDHE-RSA-AES128-SHA256      Kx=ECDH        Au=RSA      Enc=AES-GCM(128)         Mac=SHA256  
    ECDHE-RSA-AES256-SHA384      Kx=ECDH        Au=RSA      Enc=AES-GCM(256)         Mac=SHA384  
    RSA-AES128-SHA256            Kx=RSA         Au=RSA      Enc=AES-GCM(128)         Mac=SHA256  
    RSA-AES256-SHA384            Kx=RSA         Au=RSA      Enc=AES-GCM(256)         Mac=SHA384  
    DHE-RSA-AES128-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    DHE-RSA-AES256-SHA           Kx=DH          Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    AES128-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(128)         Mac=SHA1   
    AES256-SHA                   Kx=RSA         Au=RSA      Enc=AES-CBC(256)         Mac=SHA1   
    DHE-RSA-AES128-SHA256        Kx=DH          Au=RSA      Enc=AES-CBC(128)         Mac=SHA256  
    DHE-RSA-AES256-SHA256        Kx=DH          Au=RSA      Enc=AES-CBC(256)         Mac=SHA256  
    ECDHE-ECDSA-AES128-SHA256    Kx=ECDH        Au=ECDSA    Enc=AES-CBC(128)         Mac=SHA256  
    ECDHE-ECDSA-AES256-SHA384    Kx=ECDH        Au=ECDSA    Enc=AES-CBC(256)         Mac=SHA384  
    ECDHE-RSA-AES128-SHA256      Kx=ECDH        Au=RSA      Enc=AES-CBC(128)         Mac=SHA256  
    ECDHE-RSA-AES256-SHA384      Kx=ECDH        Au=RSA      Enc=AES-CBC(256)         Mac=SHA384  
    RSA-AES128-SHA256            Kx=RSA         Au=RSA      Enc=AES-CBC(128)         Mac=SHA256  
    RSA-AES256-SHA256            Kx=RSA         Au=RSA      Enc=AES-CBC(256)         Mac=SHA256  

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
"
"22964","","","None","192.168.16.1","tcp","22","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","The service closed the connection without sending any data.
It might be protected by some sort of TCP wrapper."
"22964","","","None","192.168.16.1","tcp","23","Service Detection","The remote service could be identified.","Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.","n/a","","The service closed the connection without sending any data.
It might be protected by some sort of TCP wrapper."
